Mon YYYY-MM  Calls  Custs A.Orgs   Wins  Rej's Losses  XFers
=== =======  ===== ====== ======   ====  ===== ======  =====
000 2022-07    956      5  10000      5    208      0     63
001 2022-08   2289     36   9691     32    564      1    168
002 2022-09   2135    103   8993     71    534      4    178
003 2022-10   2026    161   8408     61    504      3    217
004 2022-11   2122    226   7860     66    538      1    148
005 2022-12   1673    263   7232     48    418     11    131
006 2023-01   2009    312   6760     54    540      5    182
007 2023-02   1901    356   6481     55    489     11    150
008 2023-03   2311    403   6478     55    616      8    168
009 2023-04   1568    442   6274     47    393      8    140
010 2023-05     45    475   6512     42     10      9      0
011 2023-06    956    474   7070      3    215      4     59
012 2023-07   2095    505   7128     42    501     11    175
013 2023-08   2357    562   7120     67    572     10    206
014 2023-09   2029    623   6930     77    493     16    184
015 2023-10   2149    673   6986     67    549     17    195
016 2023-11   2152    719   6743     64    552     18    165
017 2023-12   1545    736   6156     33    388     16    133
018 2024-01   2002    782   5987     63    506     17    186
019 2024-02   1910    814   5996     49    466     17    172
020 2024-03   2019    854   5944     53    525     13    174
021 2024-04   2128    903   5958     66    554     17    194
022 2024-05   1812    945   5935     67    470     25    148
023 2024-06     25    943   6072     19     17     21      0
024 2024-07   1071    932   6412      8    235     19     71
025 2024-08   2212    950   6646     43    529     25    177
026 2024-09   2021   1010   6496     75    506     15    171
027 2024-10   2228   1050   6492     66    549     26    163
028 2024-11   1995   1078   6411     49    510     21    182
029 2024-12   1593   1129   6273     67    406     16    167
030 2025-01   2024   1170   5891     61    490     20    173
031 2025-02   1978   1203   5594     58    526     25    167
032 2025-03   1895   1220   5580     43    458     26    177
033 2025-04   2252   1266   5588     63    588     17    171
034 2025-05   2235   1309   5455     65    556     22    196
035 2025-06   1797   1352   5414     74    456     29    156
=== =======  ===== ====== ======   ====  ===== ======  =====
        -    65515                 1878  16431    524   5507
